utterance,hedge,L_context1,L_context2,R_context1,function,ID
being in a citizen is to laugh at this thing if you do n't laugh you 're not one of us oh my god yeah that 's hard so I did n't I was a bit sort of deadly serious oh my god undertones yeah I mean no but tell me I 'm re I 'm really quite ignorant so you mean his plays were put on as part of,sort,DT,NN,JJ,pragmatic marker,PS0S0_2014
thought I was boring but the looks obviously erm helped made an impact yeah and I had a girlfriend there anyway and erm she then we kind of fraternised a bit well quite a lot but not nothing goin cos I still had a girlfriend so I was yeah just a bit of flirtation bit of banter bit,kind,RB,PP,VVN,pragmatic marker,PS0S0_2014
them up I do n't I have n't I do n't like beans that much alright then do you normally have a whole can when you do it ? er pr no er well kind of think yeah I 'm trying to remember if I shared it I do n't that does n't fit in there yeah it fits in here erm yeah and that 's good cheese,kind,NN,RB,VVP,pragmatic marker,PS0SW_2014
the first he took them then his wife and that out in South Africa and then he went alone to the to to Gh Ghana which was known as the kind of like the white man's grave so the wives never used to go there he then fell in with a native girl and had a child he left the country,kind,IN,DT,IN,propositional,PS0V4_2014
like a dormitory town ? yeah like say or something ? yeah I mean I do n't no but I I said to him like that sort of area mm like it s sort of down up yeah perhaps just above him mm up would be fine yeah I do n't want to live in I would n't want to live in you ca n't save money,sort,PP,VBZ,RB,pragmatic marker,PS0V5_2014
about the guy they were like street cleaners and they were trying to fix the thing and someone they someone had got out like a kind of I think it was like scraping gum or something but he was like hacking the branch of like a he did n't do it he could n't get it off and,kind,IN,DT,PP,propositional,PS0V5_2014
set on the downhill and there 's that camera is n't there ? yes yes yes so you go past the first set and the camera yes and then you go sort of down into a valley do n't you ? through a set of pedestrian crossing ones by Specsavers yes by Specsaver that 's the second light,sort,PP,VVP,RB,pragmatic marker,PS0V5_2014
it 's gonna get and it 's just gonna fall in the coming years maybe five years come in ten years will it last that long ? but I do think sort of economically socially and environmentally the world is on its knees now something has got to give it is interesting mm mm mm mm yeah it is really,sort,VVP,VV,RB,pragmatic marker,PS0V5_2014
children you know she 's kind of like is there something wrong with me ? am I weird ? mm I do n't want children you know she s very kind of like that that,kind,VBZ,RB,VV,pragmatic marker,PS0V6_2014
n't he ? but yeah I know if you go on the well I 've not really looked around much if I 've only looked on Auto Trader to s just to see what kind of thing er give you an idea of price ranges and things yeah cos what I 'm trying mm what you know the only thing I 'm really bothered,kind,VV,WP,NN,propositional,PS0W2_2014
hang on it says blue is that the right car ? cos I 'm sure it was n't blue but it kind of looked like charcoalish blue so like black blue kind of grey like a slight ? ish grey yeah it w it was it was really nice actually that colour was n't it ? what m what what what make of car was it,kind,JJ,JJ,NN,propositional,PS0W2_2014
you die so we just held on to the back of the thing and just waited for it to be over well this was like oh my god our last day and so they kind of expected us to be able to know what we were doing and then we got off this lift we could not see a thing in front of us and we just like had to,kind,RB,PP,VVN,pragmatic marker,PS0W2_2014
n't really take much thought on my part like I just did it why did you erm not defer ? why did you come to ? did you just think new start kind of thing ? erm yeah like I yeah kind of worked it was really weird actually like worked myself up all year kind of thinking oh it was,kind,JJ,NN,NN,propositional,PS0W4_2014
you when you do those things like if you 're watching like the old way of counselling like you know girl interrupted and all that kind of stuff ? yeah like there 's such like a superiority yeah there really is and that like you would n't want that I love th we need to,kind,PDT,DT,NN,propositional,PS0W4_2014
sorts like that that apparently it was kind of like fixed or something I used to watch loads of royal things mm yeah same I still kind of do I m I 'm quite fascinated by the royal family actually in a weird way me too although if there was a documentary on like,kind,PP,RB,VVP,pragmatic marker,PS0W4_2014
like insistent like always outside the house and stuff by like giving a few access well that was a bit of a silly decision I know it kind of backfired like giving them access to their like private life would help that cos I think it would like satiate the press and like were,kind,VVP,PP,VVN,pragmatic marker,PS0W4_2014
the harbour of my town looks the colour of my eyes is that the colour of the water in the harbor ? that 's so cool yeah yeah it s like kind of green I just wish I had a completely different face to be honest I 'd love to have your face I love to have like er I dunno like good,kind,VBZ,IN,NN,propositional,PS0W4_2014
to actually ? are they not like putting regular slots in or anything like that ? no why ? well cos o on on Friday I went to like the acute kind of thing because that 's the only way you can get a faster appointment at the doctor 's so I did that and I went to see a nurse and then she made,kind,DT,JJ,NN,propositional,PS0W4_2014
are like do n't even bother with overdrafts and student accounts but I was like okay but I like really ? I mean yeah they 're they re kind of scary cos like if you do go into your overdraft it 's a bit scary cos it goes red and it looks like oh my god like I 'm I 'm in debt but you,kind,PP,VBP,JJ,pragmatic marker,PS0W4_2014
without winning it 's I know it 's awful horrible business like I actually well I recently s like because I 'd seen the statistics I kind of got out of the habit of doing it and I 'm just a bit like na but I used to get it doing what ? lottery tickets really ? like every now and,kind,NNS,PP,VVN,pragmatic marker,PS0W4_2014
like yeah fair enough like cos I do n't mind that I understand that you know not everyone can take it at once and so that 's why I kind of like keep my answers short when she 's when she 's asking me how I am mm cos she looks on my blog anyway and it 's just like that 's really,kind,WRB,PP,VV,pragmatic marker,PS0X8_2014
worrying like what would happen to her er and you know well I sort of said but you know it 's not her responsibility to learn how to sort of er protect herself it should be sort of the responsibility of or the education of young men saying mm stop attacking people please,sort,WRB,TO,NNS,pragmatic marker,PS0X8_2014
that and you know an hour before we went cos I used to get a lot of catalogues and things yeah yeah cos there was two big erm you know sort of er what do you call them ? these ah catalogue houses oh yeah yeah you know and they used to ship out all these thousands of,sort,PP,VVP,NNS,pragmatic marker,PS0X8_2014
